Latitude (decimal degrees):	48.777
Longitude (decimal degrees):	9.179
Elevation (m):	253
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	30.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230103:0910,3912.3,163.37,12.16,5.37,0.55,0.0
20230103:1010,9622.5,380.23,16.37,7.16,0.69,0.0
20230103:1110,18170.7,734.31,18.3,8.28,0.97,0.0
20230103:1210,17922.6,721.83,17.74,8.96,1.31,0.0
20230103:1310,11718.3,464.4,14.77,9.32,1.38,0.0
20230103:1410,1511.1,74.43,9.67,9.32,1.38,0.0
20230103:1510,63.3,10.33,2.84,8.7,1.31,0.0
20230103:1610,0.0,0.0,0.0,7.23,1.66,0.0
20230103:1710,0.0,0.0,0.0,5.5,1.93,0.0
20230103:1810,0.0,0.0,0.0,4.58,2.0,0.0
20230103:1910,0.0,0.0,0.0,4.0,1.79,0.0
20230103:2010,0.0,0.0,0.0,3.46,1.86,0.0
20230103:2110,0.0,0.0,0.0,3.03,2.0,0.0
20230103:2210,0.0,0.0,0.0,2.48,2.07,0.0
20230103:2310,0.0,0.0,0.0,2.46,2.14,0.0
20230104:0010,0.0,0.0,0.0,2.67,2.28,0.0
20230104:0110,0.0,0.0,0.0,2.74,2.41,0.0
20230104:0210,0.0,0.0,0.0,2.84,2.48,0.0
20230104:0310,0.0,0.0,0.0,2.99,2.55,0.0
20230104:0410,0.0,0.0,0.0,3.36,2.76,0.0
20230104:0510,0.0,0.0,0.0,3.82,3.03,0.0
20230104:0610,0.0,0.0,0.0,4.8,3.31,0.0
20230104:0710,0.0,0.0,0.0,5.87,4.07,0.0
20230104:0810,122.1,13.78,6.07,6.5,4.55,0.0
20230104:0910,519.0,33.08,12.21,6.79,4.83,0.0
20230104:1010,1360.5,67.99,16.44,7.25,5.03,0.0
20230104:1110,2736.3,120.89,18.39,8.01,5.17,0.0
20230104:1210,855.0,47.78,17.86,8.66,4.9,0.0
20230104:1310,1525.8,75.0,14.9,9.13,4.14,0.0
20230104:1410,955.2,51.97,9.8,9.25,5.52,0.0
20230104:1510,229.5,19.85,2.98,9.21,5.31,0.0
20230104:1610,0.0,0.0,0.0,8.83,5.31,0.0
20230104:1710,0.0,0.0,0.0,8.96,5.59,0.0
20230104:1810,0.0,0.0,0.0,9.03,5.66,0.0
20230104:1910,0.0,0.0,0.0,8.64,5.93,0.0
20230104:2010,0.0,0.0,0.0,8.65,5.79,0.0
20230104:2110,0.0,0.0,0.0,8.76,5.72,0.0
20230104:2210,0.0,0.0,0.0,8.92,5.79,0.0
20230104:2310,0.0,0.0,0.0,9.13,5.93,0.0
20230105:0010,0.0,0.0,0.0,9.34,5.93,0.0
20230105:0110,0.0,0.0,0.0,9.47,5.72,0.0
20230105:0210,0.0,0.0,0.0,9.48,5.66,0.0
20230105:0310,0.0,0.0,0.0,9.45,5.59,0.0
20230105:0410,0.0,0.0,0.0,9.43,5.17,0.0
20230105:0510,0.0,0.0,0.0,9.37,4.9,0.0
20230105:0610,0.0,0.0,0.0,9.29,4.97,0.0
20230105:0710,0.0,0.0,0.0,9.29,4.69,0.0
20230105:0810,2518.5,113.22,6.11,9.0,4.55,0.0
20230105:0910,3487.8,148.64,12.27,8.73,4.28,0.0
20230105:1010,3003.6,131.18,16.53,8.64,3.52,0.0
20230105:1110,2514.6,113.07,18.49,8.79,3.93,0.0
20230105:1210,3102.9,135.25,17.98,9.12,3.93,0.0
20230105:1310,1523.1,74.97,15.03,9.35,3.93,0.0
20230105:1410,1455.0,72.03,9.94,9.26,3.38,0.0
20230105:1510,1709.4,83.66,3.12,9.07,3.24,0.0
20230105:1610,0.0,0.0,0.0,8.53,2.76,0.0
20230105:1710,0.0,0.0,0.0,8.33,2.48,0.0
20230105:1810,0.0,0.0,0.0,8.36,2.34,0.0
20230105:1910,0.0,0.0,0.0,8.68,2.34,0.0
20230105:2010,0.0,0.0,0.0,9.03,2.28,0.0
20230105:2110,0.0,0.0,0.0,9.19,2.41,0.0
20230105:2210,0.0,0.0,0.0,9.32,2.69,0.0
20230105:2310,0.0,0.0,0.0,9.46,2.62,0.0
20230106:0010,0.0,0.0,0.0,9.2,2.34,0.0
20230106:0110,0.0,0.0,0.0,8.54,1.93,0.0
20230106:0210,0.0,0.0,0.0,7.49,1.86,0.0
20230106:0310,0.0,0.0,0.0,6.52,1.86,0.0
20230106:0410,0.0,0.0,0.0,6.22,1.79,0.0
20230106:0510,0.0,0.0,0.0,6.44,1.66,0.0
20230106:0610,0.0,0.0,0.0,6.77,1.66,0.0
20230106:0710,0.0,0.0,0.0,8.2,2.21,0.0
20230106:0810,914.7,50.22,6.16,8.47,2.28,0.0
20230106:0910,962.1,52.37,12.34,9.03,2.41,0.0
20230106:1010,1868.4,88.63,16.62,9.31,2.69,0.0
20230106:1110,7104.9,284.65,18.6,9.83,2.97,0.0
20230106:1210,1249.2,64.31,18.1,9.99,3.17,0.0
20230106:1310,1045.8,56.04,15.17,10.24,3.72,0.0
20230106:1410,103.5,12.86,10.09,10.09,2.62,0.0
20230106:1510,0.0,3.68,3.27,9.52,1.93,0.0
20230106:1610,0.0,0.0,0.0,8.85,1.66,0.0
20230106:1710,0.0,0.0,0.0,8.31,1.66,0.0
20230106:1810,0.0,0.0,0.0,7.36,1.86,0.0
20230106:1910,0.0,0.0,0.0,7.24,2.0,0.0
20230106:2010,0.0,0.0,0.0,6.69,1.93,0.0
20230106:2110,0.0,0.0,0.0,6.04,1.86,0.0
20230106:2210,0.0,0.0,0.0,5.17,1.79,0.0
20230106:2310,0.0,0.0,0.0,4.56,1.79,0.0
20230107:0010,0.0,0.0,0.0,4.44,1.72,0.0
20230107:0110,0.0,0.0,0.0,4.26,1.66,0.0
20230107:0210,0.0,0.0,0.0,3.93,1.66,0.0
20230107:0310,0.0,0.0,0.0,3.75,1.66,0.0
20230107:0410,0.0,0.0,0.0,3.57,1.66,0.0
20230107:0510,0.0,0.0,0.0,3.39,1.66,0.0
20230107:0610,0.0,0.0,0.0,3.16,1.79,0.0
20230107:0710,0.0,0.0,0.0,2.83,1.79,0.0
20230107:0810,1153.8,58.73,6.22,2.85,1.93,0.0
20230107:0910,2877.3,123.76,12.42,3.44,1.93,0.0
20230107:1010,14056.2,543.69,16.71,4.86,2.0,0.0
20230107:1110,18735.0,742.66,18.72,7.07,2.0,0.0
20230107:1210,18705.9,749.96,18.24,8.75,1.79,0.0
20230107:1310,16457.4,658.26,15.32,9.81,1.72,0.0
20230107:1410,8700.0,348.34,10.24,10.09,1.52,0.0
20230107:1510,3752.4,163.63,3.43,9.04,2.0,0.0
20230107:1610,0.0,0.0,0.0,7.44,2.34,0.0
20230107:1710,0.0,0.0,0.0,6.4,2.34,0.0
20230107:1810,0.0,0.0,0.0,5.76,2.34,0.0
20230107:1910,0.0,0.0,0.0,4.96,2.69,0.0
20230107:2010,0.0,0.0,0.0,4.9,2.76,0.0
20230107:2110,0.0,0.0,0.0,5.07,2.76,0.0
20230107:2210,0.0,0.0,0.0,5.08,2.69,0.0
20230107:2310,0.0,0.0,0.0,5.09,2.55,0.0
20230108:0010,0.0,0.0,0.0,4.76,2.41,0.0
20230108:0110,0.0,0.0,0.0,4.44,2.41,0.0
20230108:0210,0.0,0.0,0.0,4.17,2.41,0.0
20230108:0310,0.0,0.0,0.0,3.82,2.41,0.0
20230108:0410,0.0,0.0,0.0,3.92,2.28,0.0
20230108:0510,0.0,0.0,0.0,4.01,2.14,0.0
20230108:0610,0.0,0.0,0.0,4.39,2.21,0.0
20230108:0710,0.0,0.0,0.0,6.3,3.59,0.0
20230108:0810,138.0,14.7,6.29,6.89,3.93,0.0
20230108:0910,1061.7,56.04,12.5,7.29,3.79,0.0
20230108:1010,1635.3,79.01,16.82,7.76,3.66,0.0
20230108:1110,5149.8,209.97,18.85,7.86,3.52,0.0
20230108:1210,4373.1,181.76,18.38,8.22,3.45,0.0
20230108:1310,3346.5,143.84,15.47,8.67,3.45,0.0
20230108:1410,4543.5,187.89,10.4,8.55,3.31,0.0
20230108:1510,46.2,9.19,3.59,8.17,3.03,0.0
20230108:1610,0.0,0.0,0.0,7.06,2.55,0.0
20230108:1710,0.0,0.0,0.0,5.98,2.41,0.0
20230108:1810,0.0,0.0,0.0,5.54,2.28,0.0
20230108:1910,0.0,0.0,0.0,5.46,2.28,0.0
20230108:2010,0.0,0.0,0.0,5.3,2.48,0.0
20230108:2110,0.0,0.0,0.0,5.21,2.69,0.0
20230108:2210,0.0,0.0,0.0,4.89,2.76,0.0
20230108:2310,0.0,0.0,0.0,4.99,3.1,0.0
20230109:0010,0.0,0.0,0.0,5.4,3.52,0.0
20230109:0110,0.0,0.0,0.0,5.58,3.72,0.0
20230109:0210,0.0,0.0,0.0,5.28,3.72,0.0
20230109:0310,0.0,0.0,0.0,5.58,4.21,0.0
20230109:0410,0.0,0.0,0.0,5.76,4.48,0.0
20230109:0510,0.0,0.0,0.0,5.43,4.48,0.0
20230109:0610,0.0,0.0,0.0,4.99,4.28,0.0
20230109:0710,0.0,0.0,0.0,4.44,4.14,0.0
20230109:0810,7266.0,286.36,6.36,4.27,3.93,0.0
20230109:0910,13024.5,496.52,12.6,4.73,4.28,0.0
20230109:1010,11882.7,454.84,16.93,5.57,4.14,0.0
20230109:1110,3741.9,156.9,18.98,5.95,4.69,0.0
20230109:1210,12140.7,464.52,18.53,6.19,4.9,0.0
20230109:1310,2368.5,106.08,15.63,6.0,4.9,0.0
20230109:1410,1425.6,69.94,10.57,5.81,4.41,0.0
20230109:1510,4008.6,169.71,3.76,5.21,4.34,0.0
20230109:1610,0.0,0.0,0.0,4.4,3.79,0.0
20230109:1710,0.0,0.0,0.0,4.1,3.66,0.0
20230109:1810,0.0,0.0,0.0,3.8,3.72,0.0
20230109:1910,0.0,0.0,0.0,2.93,3.66,0.0
20230109:2010,0.0,0.0,0.0,2.61,3.45,0.0
20230109:2110,0.0,0.0,0.0,2.56,3.45,0.0
20230109:2210,0.0,0.0,0.0,2.49,3.52,0.0
20230109:2310,0.0,0.0,0.0,2.33,3.52,0.0
20230110:0010,0.0,0.0,0.0,2.13,3.38,0.0
20230110:0110,0.0,0.0,0.0,2.05,3.38,0.0
20230110:0210,0.0,0.0,0.0,2.55,3.66,0.0
20230110:0310,0.0,0.0,0.0,2.84,4.14,0.0
20230110:0410,0.0,0.0,0.0,2.55,3.72,0.0
20230110:0510,0.0,0.0,0.0,2.62,3.38,0.0
20230110:0610,0.0,0.0,0.0,2.7,3.17,0.0
20230110:0710,0.0,0.0,0.0,2.98,3.45,0.0
20230110:0810,1295.7,64.32,6.44,3.08,3.1,0.0
20230110:0910,1035.9,54.21,12.69,3.42,3.03,0.0
20230110:1010,4374.3,178.35,17.05,3.9,3.66,0.0
20230110:1110,2295.9,103.12,19.12,4.71,4.48,0.0
20230110:1210,4301.1,176.63,18.69,5.12,4.41,0.0
20230110:1310,3222.0,137.33,15.79,5.34,3.86,0.0
20230110:1410,2754.9,119.91,10.74,5.24,3.03,0.0
20230110:1510,1066.8,56.3,3.93,4.98,2.62,0.0
20230110:1610,0.0,0.0,0.0,4.11,2.48,0.0
20230110:1710,0.0,0.0,0.0,3.55,2.62,0.0
20230110:1810,0.0,0.0,0.0,3.4,2.83,0.0
20230110:1910,0.0,0.0,0.0,3.76,3.17,0.0
20230110:2010,0.0,0.0,0.0,4.09,3.31,0.0
20230110:2110,0.0,0.0,0.0,4.1,3.38,0.0
20230110:2210,0.0,0.0,0.0,4.25,3.45,0.0
20230110:2310,0.0,0.0,0.0,4.61,3.59,0.0
20230111:0010,0.0,0.0,0.0,5.31,3.72,0.0
20230111:0110,0.0,0.0,0.0,5.96,3.72,0.0
20230111:0210,0.0,0.0,0.0,6.58,3.86,0.0
20230111:0310,0.0,0.0,0.0,7.23,4.0,0.0
20230111:0410,0.0,0.0,0.0,7.39,3.86,0.0
20230111:0510,0.0,0.0,0.0,7.08,3.66,0.0
20230111:0610,0.0,0.0,0.0,6.99,3.59,0.0
20230111:0710,0.0,0.0,0.0,8.05,4.21,0.0
20230111:0810,187.8,17.46,6.52,8.17,4.21,0.0
20230111:0910,554.1,34.91,12.8,8.98,4.41,0.0
20230111:1010,1185.0,61.56,17.18,9.58,4.69,0.0
20230111:1110,872.4,48.69,19.27,9.67,4.69,0.0
20230111:1210,2726.4,121.44,18.85,9.74,4.69,0.0
20230111:1310,1071.6,56.96,15.97,9.69,4.62,0.0
20230111:1410,103.8,12.86,10.91,9.41,4.48,0.0
20230111:1510,509.4,33.11,4.11,9.04,4.34,0.0
20230111:1610,0.0,0.0,0.0,8.32,4.07,0.0
20230111:1710,0.0,0.0,0.0,7.82,3.59,0.0
20230111:1810,0.0,0.0,0.0,7.16,3.66,0.0
20230111:1910,0.0,0.0,0.0,6.81,3.45,0.0
20230111:2010,0.0,0.0,0.0,6.3,3.66,0.0
20230111:2110,0.0,0.0,0.0,5.76,3.59,0.0
20230111:2210,0.0,0.0,0.0,5.43,3.59,0.0
20230111:2310,0.0,0.0,0.0,5.33,3.72,0.0
20230112:0010,0.0,0.0,0.0,5.05,3.93,0.0
20230112:0110,0.0,0.0,0.0,4.98,4.14,0.0
20230112:0210,0.0,0.0,0.0,4.89,4.14,0.0
20230112:0310,0.0,0.0,0.0,5.07,4.28,0.0
20230112:0410,0.0,0.0,0.0,4.99,4.41,0.0
20230112:0510,0.0,0.0,0.0,5.06,4.62,0.0
20230112:0610,0.0,0.0,0.0,5.35,4.9,0.0
20230112:0710,0.0,0.0,0.0,5.83,5.17,0.0
20230112:0810,766.5,43.57,6.61,6.07,5.31,0.0
20230112:0910,1179.9,60.64,12.91,6.72,5.72,0.0
20230112:1010,3425.4,145.87,17.31,7.35,5.38,0.0
20230112:1110,1921.2,90.04,19.42,7.79,5.52,0.0
20230112:1210,17853.3,691.4,19.02,7.99,4.76,0.0
20230112:1310,9831.9,381.47,16.15,8.26,5.17,0.0
20230112:1410,1792.5,84.79,11.1,8.25,5.93,0.0
20230112:1510,697.2,41.26,4.29,8.11,5.45,0.0
20230112:1610,0.0,0.0,0.0,7.95,5.24,0.0
20230112:1710,0.0,0.0,0.0,7.9,5.17,0.0
20230112:1810,0.0,0.0,0.0,7.95,5.17,0.0
20230112:1910,0.0,0.0,0.0,8.49,5.52,0.0
20230112:2010,0.0,0.0,0.0,8.59,5.45,0.0
20230112:2110,0.0,0.0,0.0,8.62,5.31,0.0
20230112:2210,0.0,0.0,0.0,8.74,5.24,0.0
20230112:2310,0.0,0.0,0.0,8.78,5.1,0.0
20230113:0010,0.0,0.0,0.0,8.74,5.1,0.0
20230113:0110,0.0,0.0,0.0,8.65,5.17,0.0
20230113:0210,0.0,0.0,0.0,8.56,5.24,0.0
20230113:0310,0.0,0.0,0.0,8.48,5.24,0.0
20230113:0410,0.0,0.0,0.0,8.37,5.17,0.0
20230113:0510,0.0,0.0,0.0,8.35,5.17,0.0
20230113:0610,0.0,0.0,0.0,8.38,5.24,0.0
20230113:0710,0.0,0.0,0.0,8.35,5.59,0.0
20230113:0810,5536.5,225.48,6.71,8.13,5.72,0.0
20230113:0910,577.2,35.83,13.03,8.3,5.86,0.0
20230113:1010,1608.6,78.09,17.45,8.53,6.21,0.0
20230113:1110,683.1,40.43,19.58,8.38,6.34,0.0
20230113:1210,18618.6,717.41,19.19,8.09,5.93,0.0
20230113:1310,16225.8,622.82,16.33,7.5,5.45,0.0
20230113:1410,318.0,23.89,11.28,7.16,4.69,0.0
20230113:1510,1893.3,89.35,4.48,6.69,5.24,0.0
20230113:1610,0.0,0.0,0.0,6.01,4.76,0.0
20230113:1710,0.0,0.0,0.0,5.54,4.55,0.0
20230113:1810,0.0,0.0,0.0,5.42,4.41,0.0
20230113:1910,0.0,0.0,0.0,5.36,4.55,0.0
20230113:2010,0.0,0.0,0.0,5.17,4.69,0.0
20230113:2110,0.0,0.0,0.0,5.04,4.76,0.0
20230113:2210,0.0,0.0,0.0,5.06,4.69,0.0
20230113:2310,0.0,0.0,0.0,4.88,4.28,0.0
20230114:0010,0.0,0.0,0.0,4.85,4.07,0.0
20230114:0110,0.0,0.0,0.0,4.82,3.93,0.0
20230114:0210,0.0,0.0,0.0,4.86,3.66,0.0
20230114:0310,0.0,0.0,0.0,4.75,3.31,0.0
20230114:0410,0.0,0.0,0.0,4.94,3.31,0.0
20230114:0510,0.0,0.0,0.0,5.04,3.03,0.0
20230114:0610,0.0,0.0,0.0,4.94,3.03,0.0
20230114:0710,0.0,0.0,0.0,4.05,3.1,0.0
20230114:0810,4163.7,172.7,6.82,5.05,3.52,0.0
20230114:0910,520.2,33.08,13.16,6.27,3.79,0.0
20230114:1010,2795.1,123.05,17.6,7.47,3.03,0.0
20230114:1110,2933.4,128.48,19.75,7.93,3.93,0.0
20230114:1210,2296.8,104.9,19.37,8.74,3.79,0.0
20230114:1310,1729.2,83.02,16.52,9.16,4.21,0.0
20230114:1410,743.1,43.18,11.48,9.44,4.62,0.0
20230114:1510,366.3,26.41,4.67,8.99,4.76,0.0
20230114:1610,0.0,0.0,0.0,8.41,4.83,0.0
20230114:1710,0.0,0.0,0.0,8.06,4.97,0.0
20230114:1810,0.0,0.0,0.0,8.19,5.45,0.0
20230114:1910,0.0,0.0,0.0,8.27,5.79,0.0
20230114:2010,0.0,0.0,0.0,8.33,6.14,0.0
20230114:2110,0.0,0.0,0.0,8.58,6.21,0.0
20230114:2210,0.0,0.0,0.0,8.84,6.41,0.0
20230114:2310,0.0,0.0,0.0,8.67,6.34,0.0
20230115:0010,0.0,0.0,0.0,8.76,6.14,0.0
20230115:0110,0.0,0.0,0.0,8.88,6.0,0.0
20230115:0210,0.0,0.0,0.0,8.91,6.07,0.0
20230115:0310,0.0,0.0,0.0,9.12,6.14,0.0
20230115:0410,0.0,0.0,0.0,9.3,6.34,0.0
20230115:0510,0.0,0.0,0.0,9.46,6.14,0.0
20230115:0610,0.0,0.0,0.0,8.91,5.1,0.0
20230115:0710,0.0,0.0,0.0,7.89,3.59,0.0
20230115:0810,1478.4,72.27,6.93,6.25,4.0,0.0
20230115:0910,441.6,29.4,13.29,4.82,3.03,0.0
20230115:1010,1958.1,90.27,17.76,4.39,3.45,0.0
20230115:1110,1193.7,60.64,19.92,4.18,4.07,0.0
20230115:1210,2322.6,103.96,19.56,4.24,4.07,0.0
20230115:1310,3814.2,158.16,16.72,4.26,4.48,0.0
20230115:1410,4831.5,194.49,11.67,4.43,5.17,0.0
20230115:1510,4780.5,196.83,4.86,4.4,5.03,0.0
20230115:1610,0.0,0.0,0.0,3.89,4.69,0.0
20230115:1710,0.0,0.0,0.0,3.58,4.69,0.0
20230115:1810,0.0,0.0,0.0,3.37,4.55,0.0
20230115:1910,0.0,0.0,0.0,2.67,4.55,0.0
20230115:2010,0.0,0.0,0.0,2.56,4.48,0.0
20230115:2110,0.0,0.0,0.0,2.49,4.28,0.0
20230115:2210,0.0,0.0,0.0,2.4,4.07,0.0
20230115:2310,0.0,0.0,0.0,2.33,3.93,0.0
20230116:0010,0.0,0.0,0.0,2.19,3.79,0.0
20230116:0110,0.0,0.0,0.0,2.08,3.66,0.0
20230116:0210,0.0,0.0,0.0,1.95,3.45,0.0
20230116:0310,0.0,0.0,0.0,1.79,3.31,0.0
20230116:0410,0.0,0.0,0.0,1.61,3.24,0.0
20230116:0510,0.0,0.0,0.0,1.41,3.17,0.0
20230116:0610,0.0,0.0,0.0,1.28,3.1,0.0
20230116:0710,0.0,0.0,0.0,1.2,3.59,0.0
20230116:0810,835.5,45.7,7.05,1.61,3.52,0.0
20230116:0910,2075.4,93.87,13.43,2.77,3.38,0.0
20230116:1010,1011.3,53.29,17.92,3.79,3.1,0.0
20230116:1110,1614.9,77.18,20.1,4.33,3.45,0.0
20230116:1210,3312.6,140.84,19.76,4.72,3.38,0.0
20230116:1310,6082.2,240.79,16.92,5.18,4.28,0.0
20230116:1410,8021.1,311.6,11.88,5.69,5.03,0.0
20230116:1510,5543.1,225.59,5.07,5.44,6.34,0.0
20230116:1610,0.0,0.0,0.0,4.56,6.62,0.0
20230116:1710,0.0,0.0,0.0,3.66,6.41,0.0
20230116:1810,0.0,0.0,0.0,3.27,6.34,0.0
20230116:1910,0.0,0.0,0.0,2.83,6.41,0.0
20230116:2010,0.0,0.0,0.0,2.56,6.34,0.0
20230116:2110,0.0,0.0,0.0,2.48,5.79,0.0
20230116:2210,0.0,0.0,0.0,2.31,4.9,0.0
20230116:2310,0.0,0.0,0.0,2.04,4.34,0.0
20230117:0010,0.0,0.0,0.0,1.75,4.07,0.0
20230117:0110,0.0,0.0,0.0,1.26,3.86,0.0
20230117:0210,0.0,0.0,0.0,1.08,3.59,0.0
20230117:0310,0.0,0.0,0.0,1.03,3.17,0.0
20230117:0410,0.0,0.0,0.0,0.58,2.34,0.0
20230117:0510,0.0,0.0,0.0,0.62,1.86,0.0
20230117:0610,0.0,0.0,0.0,0.17,1.66,0.0
20230117:0710,0.0,0.0,0.0,-1.14,1.86,0.0
20230117:0810,3037.8,127.87,7.18,-1.55,1.66,0.0
20230117:0910,14941.8,571.44,13.58,0.1,1.24,0.0
20230117:1010,18791.7,731.54,18.09,1.88,1.45,0.0
20230117:1110,19619.4,764.76,20.29,2.73,1.93,0.0
20230117:1210,21210.0,829.13,19.96,3.12,2.34,0.0
20230117:1310,8624.4,332.33,17.13,3.22,2.62,0.0
20230117:1410,3535.2,147.51,12.09,3.01,2.41,0.0
20230117:1510,407.1,27.67,5.27,2.53,1.86,0.0
20230117:1610,0.0,0.0,0.0,1.91,1.66,0.0
20230117:1710,0.0,0.0,0.0,1.41,1.59,0.0
20230117:1810,0.0,0.0,0.0,1.1,1.59,0.0
20230117:1910,0.0,0.0,0.0,0.57,0.83,0.0
20230117:2010,0.0,0.0,0.0,0.11,0.76,0.0
20230117:2110,0.0,0.0,0.0,-0.09,0.76,0.0
20230117:2210,0.0,0.0,0.0,-0.22,0.76,0.0
20230117:2310,0.0,0.0,0.0,-0.36,0.62,0.0
20230118:0010,0.0,0.0,0.0,-0.22,0.41,0.0
20230118:0110,0.0,0.0,0.0,-0.3,0.34,0.0
20230118:0210,0.0,0.0,0.0,-0.36,0.21,0.0
20230118:0310,0.0,0.0,0.0,-0.41,0.07,0.0
20230118:0410,0.0,0.0,0.0,-0.47,0.48,0.0
20230118:0510,0.0,0.0,0.0,-0.22,0.83,0.0
20230118:0610,0.0,0.0,0.0,-0.19,1.17,0.0
20230118:0710,0.0,0.0,0.0,-0.92,1.93,0.0
20230118:0810,413.7,27.56,7.31,-1.06,2.14,0.0
20230118:0910,1034.7,53.29,13.73,-0.86,2.76,0.0
20230118:1010,1410.9,67.99,18.26,-0.44,3.31,0.0
20230118:1110,3524.7,146.0,20.49,0.25,3.45,0.0
20230118:1210,3469.8,144.27,20.17,0.72,3.45,0.0
20230118:1310,1990.5,90.28,17.34,0.92,3.17,0.0
20230118:1410,3807.3,155.92,12.3,0.86,2.69,0.0
20230118:1510,126.6,13.78,5.48,0.53,2.07,0.0
20230118:1610,0.0,0.0,0.0,-0.3,1.59,0.0
20230118:1710,0.0,0.0,0.0,-1.15,1.52,0.0
20230118:1810,0.0,0.0,0.0,-2.06,1.52,0.0
20230118:1910,0.0,0.0,0.0,-3.02,1.66,0.0
20230118:2010,0.0,0.0,0.0,-3.47,1.72,0.0
20230118:2110,0.0,0.0,0.0,-3.65,1.86,0.0
20230118:2210,0.0,0.0,0.0,-3.14,2.0,0.0
20230118:2310,0.0,0.0,0.0,-2.94,2.0,0.0
20230119:0010,0.0,0.0,0.0,-2.9,2.0,0.0
20230119:0110,0.0,0.0,0.0,-2.88,2.0,0.0
20230119:0210,0.0,0.0,0.0,-3.01,2.0,0.0
20230119:0310,0.0,0.0,0.0,-3.38,2.0,0.0
20230119:0410,0.0,0.0,0.0,-3.55,2.0,0.0
